CCDReservoir,CCDdischarge,CCDpower,CCSReservoir,CCSdischarge,CCSpower,CIMReservoir,CIMdischarge,CIMpower,CSHReservoir,CSHdischarge,CSHpower
385.0,26.218780171949067,29.329468993315476,100.0,23.540045700402047,28.871778112736816,88.79156863574813,73.01013174613789,70.51568045721774,100.0,78.49879051021624,83.57309239553594
385.0,24.112119417015858,26.951767268357408,100.0,21.75040252991255,26.88834266742899,88.81883251523358,73.02404868588243,70.5305395788209,100.0,75.88360439492821,81.36631358681547
385.0,23.886795149955724,26.697452870340236,100.0,21.501267848706597,26.612230372410927,88.69900981719704,74.60755701197085,71.93015234524309,100.0,74.70981090425225,80.37583133272774
385.0,23.823801268842136,26.6263540545277,100.0,21.41892999354024,26.520976376724967,88.47600710900474,79.57968969437572,76.33871562221293,100.0,78.29052752214193,83.39735271217234
385.0,22.210188775701805,24.805135317827904,100.0,20.13237690297824,25.09510837079966,88.17085942789438,79.3973517019996,76.14871862543455,100.0,76.8658100889523,82.19513203996885
385.0,21.70502630600247,24.23497934556743,100.0,19.72666531686576,24.645464084305726,87.8211365944482,79.18837691433158,75.93096913052182,100.0,75.849577159295,81.33760219309629
385.0,20.237995728530294,22.579201862654283,100.0,18.532670002603183,23.322176706775124,87.39207853757618,78.93199357988364,75.66382346517172,100.0,74.36189703376958,80.08225003244225
385.0,18.534738096882165,20.656804446336025,100.0,17.135336823532814,21.773532641180907,86.87880839539608,78.62529258342808,75.34424428022787,100.0,72.79490206786218,78.75996869322604
385.0,18.606211923530275,20.73747390030794,100.0,17.161754355518273,21.802810948829233,86.31327014218012,78.28735370828596,74.9921188183688,100.0,71.29608848311905,77.49522368933299
385.0,20.029631352539198,22.34402924166938,100.0,18.296647673039654,23.06059668910315,85.83218517264726,77.99988631043938,74.69257931235326,100.0,72.28950455145042,78.33349824811835
385.0,21.305257445089325,23.78377638134341,100.0,19.347564091439367,24.225311858416276,85.40982354434665,77.74750217347689,74.42960402977741,100.0,72.8154537797998,78.77731313262393
385.0,21.77286587027864,24.311546954410037,100.0,19.754143406704653,24.675917708360405,85.02474822274881,77.51740119039658,74.18984228536065,100.0,73.17308202609729,79.07909177913314
385.0,20.939408366314264,23.370857471897455,100.0,19.09196964876252,23.942040138776996,84.42490690589032,84.4275931251254,80.10069893158115,100.0,76.86647155872275,82.19569166882948
385.0,19.320950190011352,21.54416994216759,100.0,17.79577512316933,22.505486759011408,83.80055433310766,83.99248311375644,79.65833120984328,100.0,76.36743876597431,81.77459122761485
385.0,17.517144632739615,19.50828831084295,100.0,16.36508257889104,20.91987122846228,83.06890656736628,83.48261218484585,79.13994102764784,100.0,74.09444019274922,79.85656063457047
385.0,16.8435946731405,18.74808001401998,100.0,15.831814807315919,20.3288582733439,82.26222706499662,82.92044405804856,78.56838927212827,100.0,72.08210685813397,78.15849094861146
385.0,16.918702762160546,18.832851313121196,100.0,15.881564612076861,20.38399516619455,81.40801455653353,82.32515214338261,77.9631582060756,100.0,70.37761463232665,76.72018638074228
385.0,18.308202409031384,20.40112259970458,100.0,17.010094582477656,21.634728358325322,80.62989167230874,81.78288637731559,77.41183951875648,100.0,70.90454068231375,77.16482286529977
385.0,19.88789512003363,22.184057281626316,100.0,18.35237516751993,23.12235862418462,79.88768195666893,81.26565237744933,76.88596630931363,100.0,70.52980267433766,76.84860579418634
385.0,22.298622493418957,24.9049470495456,100.0,20.378619153674833,25.368015021180383,79.25324771496277,80.8235203638066,76.43645456034655,100.0,71.48042703257738,77.65077374772903
385.0,22.316793805278646,24.925456275192143,100.0,20.48197533720919,25.4825632162998,78.65514344955992,80.40670768407678,76.0126840610837,100.0,71.72414787695124,77.85643410978457
385.0,20.447571525312032,22.81574143153994,100.0,19.050511478128403,23.896092673926038,78.03405340216656,79.9738781515415,75.57262563477184,100.0,71.31372511316133,77.5101057617441
385.0,18.24763136949909,20.332758681120595,100.0,17.330672297264723,21.990020205826553,77.34105450236967,79.49093827325619,75.08161937350977,100.0,69.93150711272291,76.34374432260576
380.49922,23.024550653743226,25.682824524948053,100.0,21.150548115581525,26.223532641180903,76.67532371360868,79.02699792683742,74.60993383811724,100.0,68.4479188699635,75.09184563976122
372.15632,28.169325129591737,31.412692086222865,100.0,25.270230141054192,30.789316575274828,76.04158979350035,78.58535410954325,74.160918075754,100.0,66.96984543912747,73.84459998702309
365.18474,27.129723783945526,30.175135067471146,100.0,24.49026986376652,29.924897671457156,75.37458107650643,78.48919280411957,73.9813208714803,100.0,66.47036269310495,73.42312240461978
359.24023,26.2432787345983,29.119897353729062,100.0,23.851389812859743,29.216836131396345,74.64226472579553,79.46224169063065,74.64135163175042,100.0,66.47036269310495,73.42312240461978
