CCDReservoir,CCDdischarge,CCDpower,CCSReservoir,CCSdischarge,CCSpower,CIMReservoir,CIMdischarge,CIMpower,CSHReservoir,CSHdischarge,CSHpower
-83.94394230769221,17.57533038473513,19.527827153694012,NaN,16.660911694096548,31.381140687128045,-60.52565284178192,73.45824249314519,70.9941801204929,NaN,78.75647913485908,83.84136549441992
-98.97407051282053,17.537067659062583,19.527827153694012,NaN,16.51746160298499,31.244411887003302,-60.20975826663431,73.41605029091151,70.94912497042282,NaN,76.10902713948936,81.69625940825331
-100.00000000000001,23.437997666803557,26.190912550384297,NaN,21.144079676819096,35.65427246030302,-59.85541272536181,73.36872199558617,70.89858666569593,NaN,73.99741180723541,79.98531501427459
-100.00000000000001,23.823801268842136,26.6263540545277,NaN,21.41892999354024,35.91624652407807,-59.65482254022154,73.34192469738515,70.86997642926046,NaN,74.70346540936133,80.55739926680508
-100.00000000000001,22.210188775701805,24.805135317827904,NaN,20.13237690297824,34.689967254866296,-59.1286280216671,73.27164448605632,70.79492774066726,NaN,73.34318743822757,79.45522888009343
-100.00000000000001,21.70502630600247,24.23497934556743,NaN,19.72666531686576,34.30326606720549,-58.4201633115046,73.17701464589045,70.69388298356418,NaN,72.39270921865806,78.68510251751881
-100.00000000000001,20.237995728530294,22.579201862654283,NaN,18.532670002603183,33.165206996023805,-57.39605465276097,73.04023272921822,70.54781720390964,NaN,70.9738065662412,77.53542937321568
-100.00000000000001,18.534738096882165,20.656804446336025,NaN,17.135336823532814,31.83333928896281,-56.03707656237366,72.85871731425132,70.35399337471105,NaN,69.47880027843263,76.3240972943161
-100.00000000000001,18.606211923530275,20.73747390030794,NaN,17.161754355518273,31.858519257257207,-54.46500929743717,72.64873938340133,70.12977557743761,NaN,68.05357135989725,75.16930151829743
-100.00000000000001,20.029631352539198,22.34402924166938,NaN,18.296647673039654,32.9402433795057,-53.203233891179615,72.48020464120913,69.94981434629875,NaN,69.11538032588923,76.02963680898002
-100.00000000000001,21.305257445089325,23.78377638134341,NaN,19.347564091439367,33.94192286701838,-52.15412725361793,72.34007891393031,69.80018337853333,NaN,69.70588438892884,76.5080935310148
-100.00000000000001,21.77286587027864,24.311546954410037,NaN,19.754143406704653,34.32945567712259,-51.236268089578786,72.21748144185113,69.66927476747784,NaN,70.12533313848178,76.84795451596159
-100.00000000000001,20.939408366314264,23.370857471897455,NaN,19.09196964876252,33.69830297045142,-50.233503112620284,72.08354845181569,69.52625316248339,NaN,69.76795871197992,76.55838875551518
-100.00000000000001,19.320950190011352,21.54416994216759,NaN,17.79577512316933,32.46283622235505,-49.10734901770559,71.93313047548988,69.36563540889318,NaN,69.43263968741707,76.28669624318712
-99.96019230769225,17.53455759518436,19.527827153694012,NaN,16.378941177604876,31.112380779126276,-47.54080362195814,71.72388818297331,69.1422048197157,NaN,67.33251931530187,74.5850692642097
-98.37144230769235,17.538602529204326,19.527827153694012,NaN,16.38495646892083,31.11811377634554,-45.69366965801601,71.47717514879957,68.8787563022151,NaN,65.50159021947721,73.10155155073969
-96.9461217948718,17.542230734472312,19.527827153694012,NaN,16.377816986280237,31.111309090672837,-43.62743148193065,71.20119039657594,68.58405607833858,NaN,63.98071738704057,71.86926177653777
-98.70730769230767,17.537747266126132,19.527827153694012,NaN,16.396906063498488,31.129503755295097,-41.74123211253944,70.94926101785595,68.31503567463278,NaN,64.67460302199387,72.43148196210744
-100.00000000000001,19.322402683539337,21.54580877750795,NaN,17.90231201612048,32.56438252033577,-39.97471097097584,70.71330836621414,68.06308358056825,NaN,64.46161744741892,72.2589110757851
-100.00000000000001,22.298622493418957,24.9049470495456,NaN,20.378619153674833,34.92467319836794,-37.83673700379982,78.0824316190731,74.5762477020804,NaN,69.90414841535687,76.66873702309888
-100.00000000000001,22.316793805278646,24.925456275192143,NaN,20.48197533720919,35.02318797266041,-33.50476998948988,100.0,93.99592972461367,NaN,82.9913816642118,87.2727014663898
-100.00000000000001,20.447571525312032,22.81574143153994,NaN,19.050511478128403,33.65878791028873,-29.03976069205271,100.0,93.89030505451301,NaN,82.82985997607942,87.14182941863483
-100.00000000000001,18.24763136949909,20.332758681120595,NaN,17.330672297264723,32.019523636269135,-24.24952704341499,100.0,93.77698576654956,NaN,81.72535928961223,86.24690987542174
-85.57442307692301,23.024550653743226,25.682824524948053,NaN,21.150548115581525,35.66043816107488,-19.515037593984964,100.0,93.66498380080449,NaN,80.50856257234825,85.26099792369581
-58.83435897435894,28.169325129591737,31.412692086222865,NaN,25.270230141054192,39.58711569947244,-14.856673942921836,100.0,93.55478604320997,NaN,79.28445892157353,84.26915715027252
-36.48955128205118,27.129723783945526,30.175135067471146,NaN,24.49026986376652,38.843693962940826,-10.06112862802168,100.0,93.44133934584372,NaN,78.84027427920947,83.90925901894629
-17.436634615384577,26.2432787345983,29.119897353729062,NaN,23.851389812859743,38.23474817432886,-5.117657045840399,100.0,93.32439571540378,NaN,78.28071700246512,83.45587853620555
